ADMM_START rows=743 columns=12248 nnz=5605870 rounds=5 max_iterations=2000 rho=100000000.0
ADMM_ITER round=0/4 iteration=1225/2000 objective=1.919652868231098e-05 r=1.30015e-10/1.10671e-08 s=0.012595/6.03115e-07 projection_inf=6.56361e-19 support=1114/12248
ADMM_ITER round=0/4 iteration=1250/2000 objective=1.9196737052342713e-05 r=1.18246e-10/1.10671e-08 s=0.0128286/6.03308e-07 projection_inf=6.30018e-19 support=1117/12248
ADMM_ITER round=0/4 iteration=1275/2000 objective=1.91971129391365e-05 r=1.18219e-10/1.10671e-08 s=0.0119063/6.03328e-07 projection_inf=6.82219e-19 support=1116/12248
ADMM_ITER round=0/4 iteration=1300/2000 objective=1.9197058492537561e-05 r=1.16002e-10/1.10671e-08 s=0.0111591/6.03278e-07 projection_inf=6.91351e-19 support=1119/12248
ADMM_ITER round=0/4 iteration=1325/2000 objective=1.9197045252043922e-05 r=1.10802e-10/1.10671e-08 s=0.0109171/6.03261e-07 projection_inf=6.80549e-19 support=1119/12248
ADMM_ITER round=0/4 iteration=1350/2000 objective=1.9197089645724281e-05 r=1.01702e-10/1.10671e-08 s=0.0110942/6.03215e-07 projection_inf=6.47345e-19 support=1121/12248
ADMM_ITER round=0/4 iteration=1375/2000 objective=1.9197040183417774e-05 r=9.44967e-11/1.10671e-08 s=0.0111063/6.03176e-07 projection_inf=6.48705e-19 support=1120/12248
ADMM_ITER round=0/4 iteration=1400/2000 objective=1.9197014857141954e-05 r=1.02223e-10/1.10671e-08 s=0.00966056/6.03163e-07 projection_inf=6.08043e-19 support=1120/12248
ADMM_ITER round=0/4 iteration=1425/2000 objective=1.9197273581290078e-05 r=8.88844e-11/1.10671e-08 s=0.0102946/6.03086e-07 projection_inf=7.45474e-19 support=1118/12248
ADMM_ITER round=0/4 iteration=1450/2000 objective=1.919713303318383e-05 r=9.29531e-11/1.10671e-08 s=0.00935948/6.02976e-07 projection_inf=7.23977e-19 support=1117/12248
ADMM_ITER round=0/4 iteration=1475/2000 objective=1.919710169286759e-05 r=8.63841e-11/1.10671e-08 s=0.00945827/6.02918e-07 projection_inf=7.31235e-19 support=1117/12248
ADMM_ITER round=0/4 iteration=1500/2000 objective=1.91970185499533e-05 r=8.66556e-11/1.10671e-08 s=0.00895712/6.02878e-07 projection_inf=6.67962e-19 support=1116/12248
ADMM_ITER round=0/4 iteration=1525/2000 objective=1.9197028411522727e-05 r=9.3002e-11/1.10671e-08 s=0.00779653/6.02854e-07 projection_inf=6.56013e-19 support=1117/12248
ADMM_ITER round=0/4 iteration=1550/2000 objective=1.9197002956539343e-05 r=8.32581e-11/1.10671e-08 s=0.00826706/6.0283e-07 projection_inf=6.01607e-19 support=1116/12248
ADMM_ITER round=0/4 iteration=1575/2000 objective=1.919693009984629e-05 r=7.64858e-11/1.10671e-08 s=0.00842015/6.02827e-07 projection_inf=6.2347e-19 support=1118/12248
ADMM_ITER round=0/4 iteration=1600/2000 objective=1.9196898371066994e-05 r=7.45988e-11/1.10671e-08 s=0.00820037/6.02853e-07 projection_inf=7.27427e-19 support=1116/12248
ADMM_ITER round=0/4 iteration=1625/2000 objective=1.9196922018631553e-05 r=7.79406e-11/1.10671e-08 s=0.00747994/6.02871e-07 projection_inf=6.74836e-19 support=1121/12248
ADMM_ITER round=0/4 iteration=1650/2000 objective=1.9196909504150704e-05 r=7.92915e-11/1.10671e-08 s=0.00693796/6.02893e-07 projection_inf=7.07368e-19 support=1124/12248
ADMM_ITER round=0/4 iteration=1675/2000 objective=1.9196943811689579e-05 r=6.87258e-11/1.10671e-08 s=0.00765428/6.02912e-07 projection_inf=6.7887e-19 support=1122/12248
ADMM_ITER round=0/4 iteration=1700/2000 objective=1.9196952525339414e-05 r=6.79777e-11/1.10671e-08 s=0.00738958/6.02915e-07 projection_inf=6.58889e-19 support=1121/12248
ADMM_ITER round=0/4 iteration=1725/2000 objective=1.9196877764471704e-05 r=6.77907e-11/1.10671e-08 s=0.00704316/6.02937e-07 projection_inf=6.52115e-19 support=1120/12248
ADMM_ITER round=0/4 iteration=1750/2000 objective=1.9196835382430278e-05 r=7.004e-11/1.10671e-08 s=0.00653205/6.02984e-07 projection_inf=5.99628e-19 support=1118/12248
ADMM_ITER round=0/4 iteration=1775/2000 objective=1.9196857117340845e-05 r=6.19494e-11/1.10671e-08 s=0.00704692/6.03038e-07 projection_inf=6.52641e-19 support=1115/12248
ADMM_ITER round=0/4 iteration=1800/2000 objective=1.9196987307746267e-05 r=6.0771e-11/1.10671e-08 s=0.00680988/6.03055e-07 projection_inf=6.1145e-19 support=1115/12248
ADMM_ITER round=0/4 iteration=1825/2000 objective=1.9197052272198779e-05 r=6.07693e-11/1.10671e-08 s=0.00653495/6.03026e-07 projection_inf=7.02302e-19 support=1115/12248
ADMM_ITER round=0/4 iteration=1850/2000 objective=1.9197108358050122e-05 r=5.86942e-11/1.10671e-08 s=0.00642506/6.02973e-07 projection_inf=6.21e-19 support=1114/12248
ADMM_ITER round=0/4 iteration=1875/2000 objective=1.9197055070118007e-05 r=6.49289e-11/1.10671e-08 s=0.00547734/6.02914e-07 projection_inf=7.17877e-19 support=1115/12248
ADMM_ITER round=0/4 iteration=1900/2000 objective=1.9197044959202156e-05 r=5.91353e-11/1.10671e-08 s=0.00586356/6.02879e-07 projection_inf=6.16149e-19 support=1115/12248
ADMM_ITER round=0/4 iteration=1925/2000 objective=1.9197049794475827e-05 r=5.60004e-11/1.10671e-08 s=0.00595025/6.02841e-07 projection_inf=6.50603e-19 support=1112/12248
ADMM_ITER round=0/4 iteration=1950/2000 objective=1.919702640172935e-05 r=6.07804e-11/1.10671e-08 s=0.00520562/6.02806e-07 projection_inf=6.41086e-19 support=1109/12248
ADMM_ITER round=0/4 iteration=1975/2000 objective=1.9196966404227094e-05 r=5.77901e-11/1.10671e-08 s=0.00521856/6.0279e-07 projection_inf=7.02154e-19 support=1111/12248
ADMM_ITER round=0/4 iteration=2000/2000 objective=1.9196912055354794e-05 r=5.47549e-11/1.10671e-08 s=0.00533302/6.028e-07 projection_inf=7.01706e-19 support=1112/12248
ADMM_ITER round=1/4 iteration=1/2000 objective=3.2186953791298201e-06 r=1.65333e-07/1.10671e-08 s=16.5332/1.764e-07 projection_inf=5.12852e-23 support=525/12248
ADMM_ITER round=1/4 iteration=25/2000 objective=6.2249085344631883e-06 r=2.78774e-08/1.10671e-08 s=2.2814/6.93206e-07 projection_inf=3.12838e-19 support=673/12248
ADMM_ITER round=1/4 iteration=50/2000 objective=6.7908098575267934e-06 r=1.85083e-08/1.10671e-08 s=1.61095/8.62733e-07 projection_inf=3.65937e-19 support=743/12248
ADMM_ITER round=1/4 iteration=75/2000 objective=7.0102953116188076e-06 r=1.41773e-08/1.10671e-08 s=1.28954/9.7746e-07 projection_inf=3.76376e-19 support=764/12248
ADMM_ITER round=1/4 iteration=100/2000 objective=7.0438140172048157e-06 r=1.29825e-08/1.10671e-08 s=0.938379/1.07366e-06 projection_inf=4.72803e-19 support=776/12248
ADMM_ITER round=1/4 iteration=125/2000 objective=7.2720010000048546e-06 r=1.01495e-08/1.10671e-08 s=0.926491/1.17778e-06 projection_inf=4.86581e-19 support=834/12248
ADMM_ITER round=1/4 iteration=150/2000 objective=7.3893711611882885e-06 r=9.45784e-09/1.10671e-08 s=0.740606/1.24538e-06 projection_inf=5.74507e-19 support=843/12248
ADMM_ITER round=1/4 iteration=175/2000 objective=7.4228328256778918e-06 r=8.3021e-09/1.10671e-08 s=0.669019/1.31249e-06 projection_inf=5.63671e-19 support=848/12248
ADMM_ITER round=1/4 iteration=200/2000 objective=7.437265522716888e-06 r=7.31131e-09/1.10671e-08 s=0.631001/1.38185e-06 projection_inf=5.53286e-19 support=860/12248
ADMM_ITER round=1/4 iteration=225/2000 objective=7.4899475049258871e-06 r=6.74683e-09/1.10671e-08 s=0.534591/1.44749e-06 projection_inf=5.77291e-19 support=865/12248
ADMM_ITER round=1/4 iteration=250/2000 objective=7.5235250401889225e-06 r=6.35361e-09/1.10671e-08 s=0.438674/1.50857e-06 projection_inf=6.45634e-19 support=865/12248
ADMM_ITER round=1/4 iteration=275/2000 objective=7.5731070621880472e-06 r=5.38472e-09/1.10671e-08 s=0.458565/1.57061e-06 projection_inf=5.89914e-19 support=878/12248
ADMM_ITER round=1/4 iteration=300/2000 objective=7.6299210241185486e-06 r=5.08142e-09/1.10671e-08 s=0.409728/1.6249e-06 projection_inf=5.93495e-19 support=876/12248
ADMM_ITER round=1/4 iteration=325/2000 objective=7.7058972475126363e-06 r=4.78612e-09/1.10671e-08 s=0.362658/1.67172e-06 projection_inf=6.17333e-19 support=884/12248
ADMM_ITER round=1/4 iteration=350/2000 objective=7.7647760590892725e-06 r=4.20948e-09/1.10671e-08 s=0.348262/1.70529e-06 projection_inf=6.35315e-19 support=884/12248
ADMM_ITER round=1/4 iteration=375/2000 objective=7.8424564159965638e-06 r=3.91937e-09/1.10671e-08 s=0.321804/1.73552e-06 projection_inf=6.56591e-19 support=894/12248
ADMM_ITER round=1/4 iteration=400/2000 objective=7.8217005395134531e-06 r=3.73757e-09/1.10671e-08 s=0.299127/1.76209e-06 projection_inf=6.89835e-19 support=894/12248
ADMM_ITER round=1/4 iteration=425/2000 objective=7.77897095777812e-06 r=3.9021e-09/1.10671e-08 s=0.235786/1.79681e-06 projection_inf=6.67429e-19 support=893/12248
ADMM_ITER round=1/4 iteration=450/2000 objective=7.795928998063578e-06 r=3.48372e-09/1.10671e-08 s=0.259051/1.83485e-06 projection_inf=7.31253e-19 support=901/12248
ADMM_ITER round=1/4 iteration=475/2000 objective=7.8253368850848398e-06 r=3.30227e-09/1.10671e-08 s=0.243291/1.87059e-06 projection_inf=7.62553e-19 support=899/12248
ADMM_ITER round=1/4 iteration=500/2000 objective=7.7889162967952063e-06 r=3.17346e-09/1.10671e-08 s=0.230843/1.90759e-06 projection_inf=6.98841e-19 support=900/12248
ADMM_ITER round=1/4 iteration=525/2000 objective=7.8494911574913113e-06 r=2.84562e-09/1.10671e-08 s=0.240616/1.94555e-06 projection_inf=7.68737e-19 support=920/12248
ADMM_ITER round=1/4 iteration=550/2000 objective=7.9369468558370138e-06 r=2.98072e-09/1.10671e-08 s=0.18698/1.97123e-06 projection_inf=7.95617e-19 support=917/12248
ADMM_ITER round=1/4 iteration=575/2000 objective=7.9330082845288722e-06 r=2.91375e-09/1.10671e-08 s=0.165317/1.99416e-06 projection_inf=7.33331e-19 support=921/12248
ADMM_ITER round=1/4 iteration=600/2000 objective=7.8932444003078535e-06 r=2.53285e-09/1.10671e-08 s=0.195681/2.02112e-06 projection_inf=7.64712e-19 support=929/12248
ADMM_ITER round=1/4 iteration=625/2000 objective=7.8830562367322685e-06 r=2.50123e-09/1.10671e-08 s=0.181665/2.05268e-06 projection_inf=7.35282e-19 support=932/12248
ADMM_ITER round=1/4 iteration=650/2000 objective=7.9395405616848016e-06 r=2.4697e-09/1.10671e-08 s=0.169719/2.08133e-06 projection_inf=7.96429e-19 support=938/12248
ADMM_ITER round=1/4 iteration=675/2000 objective=7.9863310386941302e-06 r=2.32107e-09/1.10671e-08 s=0.172132/2.10417e-06 projection_inf=7.33684e-19 support=937/12248
ADMM_ITER round=1/4 iteration=700/2000 objective=8.000173386978699e-06 r=2.31409e-09/1.10671e-08 s=0.156251/2.12315e-06 projection_inf=7.45503e-19 support=939/12248
