timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/02 23:03:07.745, 21193, 95830, 0,8941204
2026/09/02 23:03:22.815, 21193, 95830, 0,14172844
2026/09/02 23:03:37.884, 21193, 95830, 0,17708788
2026/09/02 23:03:52.956, 21193, 95830, 0,8712628
2026/09/02 23:04:08.033, 21193, 95830, 0,14349884
2026/09/02 23:04:23.107, 21193, 95830, 0,8890536
2026/09/02 23:04:38.190, 21193, 95830, 0,9087272
2026/09/02 23:04:53.266, 21193, 95830, 0,9145584
2026/09/02 23:05:08.311, 21193, 95830, 0,15077916
2026/09/02 23:05:23.378, 21193, 95830, 0,16430508
2026/09/02 23:05:38.456, 21193, 95830, 0,8917032
2026/09/02 23:05:53.531, 21193, 95830, 0,14437828
2026/09/02 23:06:08.617, 21193, 95830, 0,9077088
2026/09/02 23:06:23.688, 42381, 95830, 0,15654828
2026/09/02 23:06:38.758, 42381, 95830, 0,12353836
2026/09/02 23:06:53.837, 42381, 95830, 0,8741416
2026/09/02 23:07:08.912, 42381, 95830, 0,10305828
2026/09/02 23:07:23.984, 42381, 95830, 0,12401252
2026/09/02 23:07:39.082, 42381, 95830, 0,15077944
2026/09/02 23:07:54.174, 42381, 95830, 22,9143328
2026/09/02 23:08:09.257, 42381, 95830, 0,16948308
2026/09/02 23:08:24.367, 46381, 95830, 0,9680880
2026/09/02 23:08:39.435, 46381, 95830, 0,8906284
2026/09/02 23:08:54.523, 46381, 95830, 0,14790936
2026/09/02 23:09:09.600, 46381, 95830, 0,9161932
2026/09/02 23:09:24.670, 46381, 95830, 0,16010852
2026/09/02 23:09:39.742, 46381, 95830, 0,8702364
2026/09/02 23:09:54.814, 46381, 95830, 0,13820448
2026/09/02 23:10:09.869, 46381, 95830, 0,8890560
2026/09/02 23:10:24.959, 46381, 95830, 0,15023584
2026/09/02 23:10:40.036, 46381, 95830, 0,12251496
2026/09/02 23:10:55.102, 46381, 95830, 0,9154112
