timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/03 01:22:27.166, 86494, 95830, 0,10904356
2026/09/03 01:22:42.258, 86494, 95830, 0,7330256
2026/09/03 01:22:57.313, 86494, 95830, 0,7589596
2026/09/03 01:23:12.423, 86494, 95830, 0,16195964
2026/09/03 01:23:27.462, 86494, 95830, 0,15539396
2026/09/03 01:23:42.527, 86494, 95830, 0,7453140
2026/09/03 01:23:57.629, 86494, 95830, 0,7576272
2026/09/03 01:24:12.672, 86494, 95830, 0,13343552
2026/09/03 01:24:27.777, 86494, 95830, 0,7598480
2026/09/03 01:24:42.826, 86494, 95830, 100,7733352
2026/09/03 01:24:57.924, 86494, 95830, 0,13729884
2026/09/03 01:25:13.076, 86494, 95830, 0,16060552
2026/09/03 01:25:28.213, 75570, 95830, 0,11418624
2026/09/03 01:25:43.336, 75570, 95830, 0,12828736
2026/09/03 01:25:58.385, 75570, 95830, 0,14203976
2026/09/03 01:26:13.477, 75570, 95830, 0,12633400
2026/09/03 01:26:28.543, 75570, 95830, 0,14907924
2026/09/03 01:26:43.615, 75570, 95830, 2,11525084
2026/09/03 01:26:58.699, 75570, 95830, 0,7757808
2026/09/03 01:27:13.799, 75570, 95830, 0,13544664
2026/09/03 01:27:28.925, 76504, 95830, 0,11002664
2026/09/03 01:27:43.971, 76584, 95830, 0,7572884
2026/09/03 01:27:59.046, 76610, 95830, 3,7666088
2026/09/03 01:28:14.111, 76610, 95830, 0,7687360
2026/09/03 01:28:29.151, 76190, 95830, 0,7683824
2026/09/03 01:28:44.223, 75570, 95830, 0,7800768
2026/09/03 01:28:59.272, 75570, 95830, 0,7813048
2026/09/03 01:29:14.363, 75570, 95830, 0,7938300
2026/09/03 01:29:29.419, 75570, 95830, 8,7965008
2026/09/03 01:29:44.495, 75570, 95830, 0,15879616
2026/09/03 01:29:59.557, 75570, 95830, 0,16183604
2026/09/03 01:30:14.601, 75570, 95830, 0,16739040
2026/09/03 01:30:29.686, 75570, 95830, 0,7901320
2026/09/03 01:30:44.761, 75570, 95830, 0,8005848
2026/09/03 01:30:59.837, 75570, 95830, 0,7955548
2026/09/03 01:31:14.923, 75570, 95830, 0,8022808
2026/09/03 01:31:29.991, 75570, 95830, 0,8055016
2026/09/03 01:31:45.040, 75570, 95830, 0,8129280
2026/09/03 01:32:00.084, 75570, 95830, 9,8213196
2026/09/03 01:32:15.160, 75570, 95830, 0,14007848
2026/09/03 01:32:30.209, 75570, 95830, 0,14587116
2026/09/03 01:32:45.261, 75570, 95830, 0,14639836
2026/09/03 01:33:00.310, 75570, 95830, 84,15558532
